 32 , 1955 ,  2.0, 12.2
 33 , 1956 ,  8.0, 42.0
 34 , 1957 ,  2.0, 11.3
 35 , 1959 ,  4.0, 19.2
 36 , 1960 ,  1.0,  6.9
 37 , 1962 ,  1.0,  6.7
 38 , 1965 , 12.0, 56.8
 39 , 1966 ,  1.0,  7.2
 40 , 1967 , 13.0, 72.8
 41 , 1968 ,  8.0, 30.8
 42 , 1969 ,  8.0, 42.4
 43 , 1970 ,  8.0, 39.2
 44 , 1971 , 10.0, 60.9
 45 , 1972 ,  4.0, 27.2
 46 , 1973 , 16.0, 73.2
 47 , 1974 , 27.0,148.3
 48 , 1975 , 26.0,140.8
 49 , 1976 , 20.0, 88.4
 50 , 1977 , 18.0,113.6
 51 , 1978 ,  5.0, 28.1
 52 , 1979 , 14.0, 89.8
 53 , 1980 , 14.0, 87.1
 54 , 1981 , 27.0,181.7
 55 , 1982 , 10.0, 59.2
 56 , 1983 , 16.0, 99.6
 57 , 1984 , 12.0, 80.0
 58 , 1985 , 29.0,191.8
 59 , 1986 ,  2.0, 12.1
 60 , 1987 , 15.0, 84.7
 61 , 1988 , 14.0, 76.6
 62 , 1989 , 15.0, 96.7
 63 , 1990 , 16.0,108.0
 64 , 1991 ,  6.0, 30.3
 65 , 1992 ,  4.0, 15.2
 66 , 1993 ,  8.0, 60.8
 67 , 1995 ,  4.0, 13.6
 68 , 1996 , 12.0, 73.2
 69 , 1997 , 26.0,160.0
 70 , 1998 , 20.0,100.1
 71 , 1999 , 34.0,209.9
 72 , 2000 ,  4.0, 16.4
 73 , 2001 ,  8.0, 40.8
 74 , 2004 ,  4.0, 20.4
 1 , 1920 ,  5.0, 32.4
 2 , 1923 ,  8.0, 57.2
 3 , 1924 ,  5.0, 35.4
 4 , 1925 ,  2.0, 12.0
 5 , 1926 ,  1.0,  1.4
 6 , 1929 ,  4.0, 27.2
 7 , 1932 ,  8.0, 50.4
 8 , 1935 ,  4.0, 25.6
 9 , 1936 , 13.0, 82.7
 10 , 1937 , 22.0,131.7
 11 , 1938 , 17.0, 98.0
 12 , 1939 ,  8.0, 43.2
 13 , 1941 ,  4.0, 20.8
 14 , 1943 ,  5.0, 32.7
 15 , 1946 , 13.0, 61.8
 16 , 1947 , 10.0, 56.4
 17 , 1948 ,  5.0, 28.1
 18 , 1949 ,  5.0, 21.8
 19 , 1950 ,  5.0, 28.3
 20 , 1951 ,  8.0, 42.4
 21 , 1952 ,  8.0, 30.0
